work_order_id,pump_id,date,wo_type,status,description,cost_usd,labor_hours,shift
WO-0001,P-01,2024-09-23,Predictive,Scheduled,Alignment check,0,0,Day
WO-0002,P-11,2024-09-13,Preventive,Cancelled,Bearing replacement,0,0,Day
WO-0003,P-04,2024-09-04,Corrective,Completed,Motor overhaul,14250.5,34.9,Day
WO-0004,P-10,2025-09-03,Predictive,Completed,Motor overhaul,19090.78,9.3,Night
WO-0005,P-03,2025-03-12,Corrective,In Progress,Seal repair,0,0,Day
WO-0006,P-02,2025-06-25,Predictive,In Progress,Oil change,0,0,Day
WO-0007,P-09,2025-09-14,Preventive,Cancelled,Seal repair,0,0,Weekend
WO-0008,P-11,2025-03-28,Predictive,Scheduled,Seal repair,0,0,Day
WO-0009,P-05,2025-01-20,Preventive,Scheduled,Seal repair,0,0,Night
WO-0010,P-08,2025-03-12,Predictive,Scheduled,Impeller inspection,0,0,Night
WO-0011,P-11,2025-01-01,Predictive,Completed,Alignment check,15423.71,9.9,Day
WO-0012,P-07,2025-09-17,Predictive,Scheduled,Impeller inspection,0,0,Day
WO-0013,P-01,2025-01-21,Predictive,Cancelled,Oil change,0,0,Day
WO-0014,P-10,2025-01-03,Predictive,Scheduled,Coupling replacement,0,0,Night
WO-0015,P-03,2025-09-13,Predictive,Scheduled,Alignment check,0,0,Weekend
WO-0016,P-09,2025-12-27,Predictive,Cancelled,Motor overhaul,0,0,Night
WO-0017,P-03,2025-01-11,Emergency,Completed,Vibration analysis,19016.66,41.6,Weekend
WO-0018,P-11,2024-11-11,Emergency,Completed,Coupling replacement,9926.8,29.4,Weekend
WO-0019,P-09,2025-02-13,Preventive,Completed,Oil change,17201.9,26.7,Weekend
WO-0020,P-02,2025-05-15,Predictive,Cancelled,Vibration analysis,0,0,Night
WO-0021,P-12,2024-06-04,Predictive,Scheduled,Seal repair,0,0,Weekend
WO-0022,P-11,2025-04-02,Corrective,Scheduled,Impeller inspection,0,0,Day
WO-0023,P-09,2025-12-05,Preventive,In Progress,Coupling replacement,0,0,Day
WO-0024,P-06,2024-09-23,Predictive,Scheduled,Bearing replacement,0,0,Day
WO-0025,P-02,2026-01-02,Preventive,Cancelled,Seal repair,0,0,Weekend
WO-0026,P-03,2024-10-07,Emergency,Scheduled,Oil change,0,0,Weekend
WO-0027,P-04,2025-08-08,Corrective,In Progress,Motor overhaul,0,0,Weekend
WO-0028,P-08,2025-06-18,Emergency,Completed,Bearing replacement,6573.69,4.9,Weekend
WO-0029,P-04,2025-12-20,Corrective,Completed,Alignment check,2239.33,31.0,Day
WO-0030,P-06,2024-07-03,Preventive,Scheduled,Oil change,0,0,Weekend
WO-0031,P-04,2025-10-11,Corrective,Cancelled,Alignment check,0,0,Night
WO-0032,P-04,2025-07-22,Preventive,Completed,Motor overhaul,16645.08,18.3,Night
WO-0033,P-11,2024-07-26,Preventive,Completed,Seal repair,10364.22,17.6,Day
WO-0034,P-04,2024-12-14,Emergency,Scheduled,Motor overhaul,0,0,Day
WO-0035,P-08,2025-03-13,Corrective,Completed,Seal repair,11356.7,41.6,Day
